exception_text,label
Motor overheating issue reported at 778,Motor
Inconsistent pressure readings in valve 975,Pressure
Unexpected particles found in batch 470,Contamination
Software error in automated control system 521,System
Inventory mismatch reported at warehouse 332,Logistics
Operator missed critical step in process 233,Operator
Calibration overdue for instrument 593,Calibration
Deviation from specification recorded in batch 108,Specification
Unexpected motor shutdown on machine 419,Motor
Pressure dropped below threshold in chamber 553,Pressure
Calibration error detected in device 526,Calibration
Specification limits breached at point 29,Specification
Incorrect shipment logged for delivery 921,Logistics
Production halted due to jam on line 831,Production
Deviation from specification recorded in batch 32,Specification
Calibration overdue for instrument 924,Calibration
Material outside specification detected in 538,Specification
System diagnostics failed at stage 879,System
Biological contamination reported in lab 224,Contamination
Pressure system malfunction at node 178,Pressure
Calibration error detected in device 668,Calibration
Inconsistent pressure readings in valve 677,Pressure
Material outside specification detected in 705,Specification
Production halted due to jam on line 302,Production
System crash during data logging 530,System
Operator failed to document action in batch 739,Operator
Inconsistent pressure readings in valve 211,Pressure
Biological contamination reported in lab 807,Contamination
Software error in automated control system 822,System
Motor overheating issue reported at 681,Motor
Pressure system malfunction at node 104,Pressure
Operator failed to document action in batch 328,Operator
Incorrect shipment logged for delivery 688,Logistics
Unexpected sensor spike in process 792,Sensor
Operator missed critical step in process 556,Operator
Material outside specification detected in 636,Specification
Inventory mismatch reported at warehouse 162,Logistics
Production halted due to jam on line 388,Production
Production delay in shift 864,Production
Inconsistent pressure readings in valve 643,Pressure
Material outside specification detected in 99,Specification
Contaminated material detected in lot 430,Contamination
Pressure system malfunction at node 553,Pressure
Software error in automated control system 2,System
Delay in raw material delivery 286,Logistics
Unexpected sensor spike in process 544,Sensor
Unexpected particles found in batch 652,Contamination
Contaminated material detected in lot 307,Contamination
Delay in raw material delivery 409,Logistics
Incorrect shipment logged for delivery 280,Logistics
Calibration error detected in device 601,Calibration
Incorrect calibration values on test 508,Calibration
Unexpected sensor spike in process 390,Sensor
Operator failed to document action in batch 558,Operator
Biological contamination reported in lab 503,Contamination
Calibration overdue for instrument 546,Calibration
Delay in raw material delivery 379,Logistics
Incorrect calibration values on test 875,Calibration
Inventory mismatch reported at warehouse 882,Logistics
Calibration overdue for instrument 399,Calibration
Specification limits breached at point 534,Specification
Contaminated material detected in lot 76,Contamination
Calibration overdue for instrument 320,Calibration
Calibration overdue for instrument 467,Calibration
Operator failed to document action in batch 624,Operator
System crash during data logging 674,System
Specification limits breached at point 275,Specification
Deviation from specification recorded in batch 473,Specification
Unexpected motor shutdown on machine 38,Motor
System crash during data logging 847,System
Specification limits breached at point 22,Specification
Inconsistent pressure readings in valve 591,Pressure
Operator missed critical step in process 563,Operator
Motor failure in unit 141,Motor
Operator failed to document action in batch 899,Operator
System crash during data logging 689,System
Specification limits breached at point 249,Specification
Production delay in shift 961,Production
System crash during data logging 769,System
Motor failure in unit 931,Motor
Calibration overdue for instrument 848,Calibration
Material outside specification detected in 809,Specification
Production halted due to jam on line 103,Production
Temperature sensor failed during batch 757,Sensor
Pressure system malfunction at node 344,Pressure
Material outside specification detected in 513,Specification
Unexpected sensor spike in process 739,Sensor
Temperature sensor failed during batch 273,Sensor
Motor failure in unit 757,Motor
System diagnostics failed at stage 91,System
Production halted due to jam on line 676,Production
Deviation from specification recorded in batch 768,Specification
Unexpected motor shutdown on machine 692,Motor
Biological contamination reported in lab 729,Contamination
Incorrect shipment logged for delivery 391,Logistics
Calibration error detected in device 900,Calibration
Irregular production flow at station 174,Production
Unexpected particles found in batch 255,Contamination
Deviation from specification recorded in batch 402,Specification
Operator missed critical step in process 737,Operator
Production halted due to jam on line 561,Production
Production halted due to jam on line 951,Production
Motor overheating issue reported at 874,Motor
Unexpected sensor spike in process 836,Sensor
Unexpected sensor spike in process 362,Sensor
Software error in automated control system 311,System
Calibration error detected in device 125,Calibration
Operator failed to document action in batch 731,Operator
Production halted due to jam on line 586,Production
Deviation from specification recorded in batch 819,Specification
Calibration error detected in device 937,Calibration
Unexpected particles found in batch 461,Contamination
Contaminated material detected in lot 312,Contamination
Unexpected particles found in batch 231,Contamination
Pressure system malfunction at node 277,Pressure
Production delay in shift 119,Production
Pressure dropped below threshold in chamber 781,Pressure
Calibration overdue for instrument 790,Calibration
Contaminated material detected in lot 768,Contamination
Pressure system malfunction at node 405,Pressure
Unexpected motor shutdown on machine 485,Motor
Contaminated material detected in lot 133,Contamination
Incorrect shipment logged for delivery 129,Logistics
Inconsistent pressure readings in valve 71,Pressure
Manual override by operator caused error in 887,Operator
Motor failure in unit 964,Motor
Irregular production flow at station 90,Production
Manual override by operator caused error in 919,Operator
Production halted due to jam on line 98,Production
Inventory mismatch reported at warehouse 364,Logistics
Unexpected sensor spike in process 828,Sensor
System crash during data logging 877,System
Material outside specification detected in 461,Specification
Specification limits breached at point 264,Specification
Inventory mismatch reported at warehouse 861,Logistics
Unexpected motor shutdown on machine 237,Motor
Unexpected sensor spike in process 709,Sensor
Material outside specification detected in 406,Specification
System crash during data logging 875,System
Motor failure in unit 845,Motor
Material outside specification detected in 169,Specification
Pressure dropped below threshold in chamber 993,Pressure
Incorrect shipment logged for delivery 942,Logistics
Biological contamination reported in lab 864,Contamination
Unexpected sensor spike in process 643,Sensor
Unexpected particles found in batch 578,Contamination
Unexpected particles found in batch 502,Contamination
Incorrect calibration values on test 750,Calibration
Temperature sensor failed during batch 613,Sensor
Production delay in shift 16,Production
Motor overheating issue reported at 323,Motor
Motor failure in unit 264,Motor
Unexpected motor shutdown on machine 293,Motor
Calibration overdue for instrument 94,Calibration
Temperature sensor failed during batch 914,Sensor
Motor overheating issue reported at 494,Motor
Biological contamination reported in lab 94,Contamination
Production delay in shift 98,Production
Contaminated material detected in lot 219,Contamination
Calibration error detected in device 110,Calibration
Production delay in shift 559,Production
Unexpected sensor spike in process 961,Sensor
Delay in raw material delivery 305,Logistics
Temperature sensor failed during batch 440,Sensor
Operator missed critical step in process 581,Operator
Software error in automated control system 886,System
Sensor data not recorded for line 459,Sensor
Deviation from specification recorded in batch 146,Specification
Inconsistent pressure readings in valve 559,Pressure
Deviation from specification recorded in batch 673,Specification
Unexpected sensor spike in process 626,Sensor
Sensor data not recorded for line 438,Sensor
Sensor data not recorded for line 808,Sensor
System diagnostics failed at stage 961,System
Motor overheating issue reported at 936,Motor
Biological contamination reported in lab 74,Contamination
Inconsistent pressure readings in valve 56,Pressure
Delay in raw material delivery 958,Logistics
Sensor data not recorded for line 408,Sensor
System diagnostics failed at stage 180,System
Motor failure in unit 522,Motor
Calibration overdue for instrument 849,Calibration
Motor failure in unit 342,Motor
Material outside specification detected in 982,Specification
Calibration overdue for instrument 950,Calibration
Unexpected motor shutdown on machine 130,Motor
Motor failure in unit 90,Motor
Software error in automated control system 891,System
Operator missed critical step in process 671,Operator
Unexpected sensor spike in process 15,Sensor
Manual override by operator caused error in 110,Operator
Production halted due to jam on line 363,Production
Motor failure in unit 661,Motor
Calibration error detected in device 738,Calibration
Production halted due to jam on line 699,Production
Pressure dropped below threshold in chamber 165,Pressure
Calibration error detected in device 259,Calibration
System diagnostics failed at stage 124,System
Pressure system malfunction at node 467,Pressure
System crash during data logging 786,System
Calibration error detected in device 957,Calibration
Irregular production flow at station 914,Production
System crash during data logging 603,System
Pressure dropped below threshold in chamber 253,Pressure
Temperature sensor failed during batch 685,Sensor
Inconsistent pressure readings in valve 428,Pressure
Temperature sensor failed during batch 335,Sensor
Inventory mismatch reported at warehouse 972,Logistics
Production halted due to jam on line 607,Production
Manual override by operator caused error in 616,Operator
Pressure dropped below threshold in chamber 210,Pressure
Operator missed critical step in process 347,Operator
Delay in raw material delivery 649,Logistics
Operator missed critical step in process 788,Operator
Manual override by operator caused error in 135,Operator
Motor failure in unit 74,Motor
Material outside specification detected in 943,Specification
Operator missed critical step in process 202,Operator
Incorrect calibration values on test 104,Calibration
Deviation from specification recorded in batch 711,Specification
Irregular production flow at station 16,Production
Biological contamination reported in lab 867,Contamination
Material outside specification detected in 802,Specification
Unexpected particles found in batch 654,Contamination
Sensor data not recorded for line 390,Sensor
Operator missed critical step in process 266,Operator
Specification limits breached at point 828,Specification
Unexpected particles found in batch 584,Contamination
Production delay in shift 515,Production
Production delay in shift 798,Production
Sensor data not recorded for line 134,Sensor
Contaminated material detected in lot 457,Contamination
Production halted due to jam on line 58,Production
